,variable,model,params,endog_vars,exog_vars,mape_first6,mape_first18,mape_last12,rmse_first6,rmse_last12,rmse_first18
23,ing_trib_sin_gasol_neto_(mdp)_r,RF,"{'criterion': 'mae', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.05825983029419851,0.07076670006441893,0.07745544877401461,15228.3254529427,24969.010516745337,22354.949776751768
22,ing_trib_sin_gasol_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50, 'random_state': 1234, 'subsample': 1.0}",['ing_trib_sin_gasol_neto_(mdp)_r'],all,0.07360962002447646,0.08052023134162214,0.08115486311713854,17757.52471880215,25487.203991386865,23977.541565758795
21,ing_trib_sin_gasol_neto_(mdp)_r,DT,"{'criterion': 'mse', 'max_depth': 1, 'max_features': None, 'min_samples_split': 5, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.07076052771844389,0.11094714122687568,0.13183023215173525,19751.835186466244,41213.225466134856,35210.85798015569
25,ing_trib_sin_gasol_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['igae', 'tc_mensual', 'tasa_cetes_91_mensual', 'inpc', 'ing_trib_sin_gasol_neto_(mdp)_r', 'importaciones_r', 'indic_mens_consumo']","['commodity_price_index', 'cons_price_index_us', 'ind_prod_ind_us', 'tbill_3meses_mensual', 'trade_weighted_exchange_rate', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.07749470727217911,0.06440808816461008,0.056556744346682356,19922.693185009666,17812.44942073698,18703.64705233409
31,isr_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 0, 12)}",['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.04570469280067755,0.09416852022471232,0.12250413974212788,6820.868110643751,19672.153526638635,16223.429399546005
27,isr_neto_(mdp)_r,ARIMA,"{'order': (1, 0, 4)}",['isr_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.050942354530498744,0.07978180910623843,0.10085026123603769,7650.7644646598155,21747.149110292492,17700.134720854898
32,isr_neto_(mdp)_r,VAR,"{'ic': 'bic', 'maxlags': 12, 'trend': 'ct'}","['isr_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.04926269453011781,0.07813673512778611,0.09850017393387844,7708.469300606218,19231.5562663338,15887.621181998647
30,isr_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']",all,0.07435108515153362,0.09553407797034469,0.10904435249949904,11513.000656612938,24025.598098610964,20383.985901069664
29,isr_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.08807384656040915,0.16201510250988643,0.20154525620952113,11988.676408522999,32117.817989077288,26854.022075404813
28,isr_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'random_state': 1234}",['isr_neto_(mdp)_r'],all,0.08243684535393561,0.2331782684207168,0.31960666629882317,12914.856490597955,51226.60102234232,41272.49237251821
37,iva_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",['iva_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.12167279282153383,0.11740694088199133,0.11632386894365108,9630.61111072407,10766.99388513656,10349.824871314271
38,iva_neto_(mdp)_r,VAR,"{'ic': 'aic', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.12313958040674697,0.11042237145755635,0.10574642997053164,9769.616835606446,9781.12422417477,9789.4589908842
36,iva_neto_(mdp)_r,RF,"{'criterion': 'mae', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10, 'n_jobs': -1, 'random_state': 1234}",['iva_neto_(mdp)_r'],all,0.11736456574975558,0.13830362775102772,0.14748013839290314,9907.852010154063,13957.37234444533,13081.548816702416
35,iva_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 1, 'random_state': 1234, 'subsample': 0.1}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']",all,0.11925911139567509,0.1164738844491542,0.11459069942239276,10064.977869238912,11405.968146091403,11014.249764800075
34,iva_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}",['iva_neto_(mdp)_r'],all,0.1320385631559517,0.16311419875788563,0.1846024175407317,10524.055003745236,16834.881003302016,14781.327729178936
33,iva_neto_(mdp)_r,ARIMA,"{'order': (5, 0, 5)}",['iva_neto_(mdp)_r'],"['mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.13125330050223086,0.12297486568484736,0.12206661089872509,10524.213023637385,10838.924691440237,10731.816305124625
